,tweet
328,"É tão destruidora a sensação, e quase certeza, de que algo bom em sua vida está acabando."
329,"Parece ser tudo tão triste, parece que nada existe sem você..."
330,Eu faço tudo errado
331,"Eu tenho tanto medo de mudanças, e quando elas acontecem eu não sei o que fazer."
332,quando o olho enche de lagrima e a garganta da um nó
333,"Não guarde as palavras pra si, diga o que sentes, mande as pessoas a merda. Não se afogue em teus próprios sentimentos."
334,"Ter complexo de inferioridade é morrer lentamente, nada pior do que se sentir inferior a todo mundo."
335,"Sinto pena de quem precisa de alguém pra ser feliz, sinto pena de mim mesmo."
336,"Odeio me importar demais, com coisas que deveriam passar despercebidas."
337,"De dentro desse poço escuro e fedorento, eu não sinto mais nada além de dor e sofrimento."
338,"Nem a morte me trará a solução, meu castigo é a vida, caminhar sem direção."
339,Nada mais destruidor do que não se sentir bem consigo mesmo
340,Pesadelos reais que vivo todos os dias
341,Um pesadelo horrível me acordou nesta manhã
342,Perdi minha autoestima faz uns 84 anos
343,Só hoje eu já desejei a morte um milhão de vezes
344,Nunca julgue uma dor que nunca sentiste
345,Não estou preparado psicologicamente para levantar amanhã e viver mais um dia.
346,Então vamos chorar com vontade até cairmos num sono
347,"Queria ir para um lugar onde ninguém me conhecesse, e tentar recomeçar, sendo quem eu quiser ser."
348,"Depressão não é ter tristezas momentâneas, se sentir vazios às vezes ou desejar morrer uma vez na vida."
349,"Então deixa que o tempo vai, gravar a tua voz em mim, pra que eu possa te ouvir, toda vez que eu precisar."
350,Eu tento.
351,"Todos nós vamos morrer, que circo! Só isso deveria fazer com que amássemos uns aos outros, mas não faz."
352,Depressão fora do normal típica de domingo
353,"Não sou fã de bebidas, mas um porre nesse momento não me cairia mal."
354,Hoje é só mais um daqueles dias em que nada faz sentido e tudo te desmorona.
355,"Sentimentos ruins, intensos e repetitivos que insistem em voltar e tirar a minha paz."
356,"Estamos tão acostumados com tudo dando errado na nossa vida, que quando algo começa a dar certo, estragamos tudo"
357,A vida é um eterno tapa na sua cara
358,"É que você nasceu pra ser espinho, e eu cicatriz."
359,estou aqui
360,De coração partido a gente segue em frente.
361,"De tanto me compararem com as pessoas, agora eu automaticamente faço isso para me sentir mal."
362,É difícil escrever o que sinto quando as lágrimas invadem meus olhos borrando a minha visão.
363,Pra que desabafar? Ninguém irá me entender...
364,Que Deus me perdoe pelos pensamentos que tenho sobre tirar minha própria vida.
365,"Alguém te perguntou como é que foi seu dia? Uma palavra amiga, uma noticia boa, isso faz falta no dia a dia."
366,Tudo seria tão mais fácil debaixo da terra.
367,"Nos rendemos por tão pouco, por medo de experimentar o gosto amargo da solidão."
368,A vida e suas eternas incertezas.
369,Me fez voar tão alto para cortar minhas asas no final.
370,Eu nunca estive tão destruído em toda a minha vida.
371,"Eu pago um alto preço por pecados que não cometi, e recebo da vida aquilo que não plantei."
372,Cansei de ser escravo de sentimentos ruins.
373,"12- quando criança eu tinha um amigo imaginário, era tão carente de companhias que inventei a minha."
374,11- eu pulei o número nove sem querer.
375,"10- eu tinha uma vida tda  programa,fazer faculdade, arrumar um emprego, ser alguém. Hj eu só qro ficar no meu cantinho e não sonhar mais."
376,"8- meus pais não levam a sério a minha depressão, falam que é falta de Deus."
377,7- passo a maior parte do tempo desejando ser qualquer outra pessoa que não seja eu.
378,6- já tentei tirar a minha própria vida diversas vezes mas nunca deu certo.
379,"5- eu já tive muitos amigos, e todos me trocaram e me descartaram de alguma forma. Hoje sou sozinho."
380,4- muitas vezes eu já chorei no meio da aula refletindo sobre a minha vida.
381,3- já fiquei dois dias seguidos trancado no meu quarto numa das minhas piores crises existenciais
382,"2- qualquer coisa me atinge de alguma forma, por mais simples que seja."
383,"1- desde criança eu tinha um instinto depressivo, sempre fui inseguro em tudo, e me auto isolava em qualquer lugar."
384,vou tweetar alguns fatos sobre mim
385,"Olha o que o tempo faz, eu nem me conheço mais."
386,Até agora essa ano está sendo bom pra vocês?
387,A depressão é uma doença desgraçada pra caralho.
388,"Depressão não tem cura. Por mais que consigas se afastar dela, ainda estará vulnerável a recaídas internas."
389,"Me sinto num deserto. Sozinho, sem avistar um caminho, cansado e abatido esperando minha morte chegar."
390,"Alguém me tire desse óbito interno, alguém me faça sentir preenchido, amado, acolhido."
391,"Você criou a sua própria tempestade, não venha até mim quando chover, pois eu não estarei aqui."
392,"O mundo acabando ou não, não fará diferença alguma, pois o meu mundo acabou há muito tempo."
393,"Ninguém vai te entender, até passar pela mesma situação."
394,"faltou o complexo de inferioridade, mas é só o resumo mesmo."
396,A crise existencial tarda mas não falha.
398,A pior insatisfação que você pode ter é consigo mesmo.
399,Esse complexo de inferioridade acaba comigo em todos os aspectos
400,"A sensação de inferioridade quanto a sociedade, é uma morte lenta e dolorosa."
401,"Não importa o quanto você se esforce para ser suficiente, sempre haverá alguém melhor, mais interessante e mais atraente que você."
402,Nenhum psicólogo ou psiquiatra desse mundo conseguiria diagnosticar o tamanho do meu caos interno.
403,"Me sinto mal quando fico perto de pessoas aparentemente felizes. Não por ódio, e sim por saber que nunca serei como elas."
404,Até eu sinto dó de mim mesmo.
405,Eu presenciei minha morte interna lenta e dolorosa ao longo da minha vida.
406,"E acabou exatamente como começou, do nada e sem amor."
407,Hoje a noite pede uma corda e um banquinho.
408,"É incrível o quão estúpidos podemos ser, quando estamos amando alguém."
409,"A tristeza diária me tira tudo, desde sorrisos até o sono."
410,Eu só queria ter estabilidade emocional
411,Toda a insegurança que houver nessa vida.
412,"Pessoas sensíveis, muitas vezes, são punidas por serem sensíveis. Como se o próprio fato de ser sensível já não fosse um castigo suficiente."
413,Eu não consigo avistar uma luz no meio de tanta escuridão
414,Sinto falta da minha vida antes da depressão
415,"Pior do que se sentir deslocado no mundo, é se sentir assim dentro de sua própria casa."
416,"Sinto falta de coisas que nunca tive, e a saudade não me coube, me faz transbordar."
417,"O tempo me conseguiu tirar até a beleza interior, que era a única que eu tinha."
418,"Eu não consigo imaginar que alguém um dia estará disposto a passar o resto de sua vida comigo, eu não consigo."
419,"Vamos voltar às décadas seguintes, onde o amor não era a lenda que se tornou hoje."
420,"Geração pobre de espírito, de empatia e de amor."
421,queria ser menos inseguro com tudo na minha vida
422,Passar noites em claro idealizando uma vida perfeita faz parte.
423,A pior insatisfação que você pode ter é aquela por você mesmo.
424,Eu só queria ter paz e alguém pra ir a guerra me ajudar a lutar.
425,"Às vezes o amor não é o bastante, e a estrada fica difícil."
426,Eu vivo de ilusões para tentar fugir da realidade.
427,As vezes eu me controlo para não passar da linha amarela de 30 cm entre a plataforma e o trem e me jogar.
428,"Ser magoado por alguém é ruim, mas vocês já experimentaram a sensação de sobreviver após uma tentativa de suicídio? É decepcionante."
429,Para onde vai a felicidade quando a dor nos invade ?
430,"E se essas substâncias me proporcionam isso, por que não?."
431,"Ano novo, problemas psicológicos velhos."
432,Só neste ano eu perdi as contas de quantas vezes já quebrei a cara.
433,"Meu vicio não é no álcool, nem nas drogas. Sou viciado em fugir da realidade."
434,Pagar caro demais numa vida sem valor algum.
435,"Às vezes eu paro e penso: O que fiz de tão errado na vida, para ela ser tão ruim e injusta comigo?"
436,"Aproveite a madrugada para chorar, ninguém te escutará, nenhuma satisfação terás que dar."
437,"Então diga que o tempo fecha todas as feridas, e que pra nós existe uma saída, que nem por um segundo me esqueceu."
438,É tão contraditório o fato da minha vida me matar todos os dias.
439,A vida é uma corda e eu me enforquei.
440,Não se rendam ao mundo sombrio e escuro chamado depressão.
441,"A depressão só termina, quando finalmente ela acaba contigo."
442,"Mas tudo bem, nem sempre estamos na melhor..."
443,O problema é que eu acho todo mundo melhor do que eu.
444,"Eu ando tão fragilizado, coisas pequenas e inúteis já me entristece e desestabiliza."
445,"O meu erro foi achar, que o tempo seria capaz de curar, essas feridas que jamais se fecharão por completo."
446,"O tempo te tira tudo; sua segurança, sua autoestima, suas perspectivas, seus sonhos, sua vontade de viver..."
447,"Não quero pensar, não quero fazer planos e nem criar expectativas. Quero apenas que os dias passem."
448,"Eu não vou ver o sol nascer, pois tranquei minhas janelas, pra não deixar a luz entrar."
449,"Esperar por pessoas ou coisas que você sabe que não voltarão, ou acontecerão."
450,verás que um filho teu não sabe lidar com os próprios sentimentos
451,"Eu tentei ser suficiente para alguém, quando era insuficiente para mim mesmo."
452,não tenho mais saco para ouvir essas mesmas coisas toda hora
453,"""nunca te abandonarei"" ah, não me venha com esses papos furados, preguiça."
454,Ultimamente não ando com vontade de conversar com ninguém
455,"Ah, 2017... por favor não me decepcione."
456,Torcer para esse ano não ser 2016 parte 2
457,"Queria desejar um feliz ano novo a todos, que neste ano consigamos cumprir nossas metas, se sentir vivo e se sentir feliz 💙"
458,"Talvez eu ache algo mais forte, que faça eu me sentir melhor."
459,pra mim esse ano foi o pior de todos
460,"Na falta de um amor real, inventei um na minha mente"
461,O que esse ano foi pra você?
462,"Terminarei esse ano horrível com um semblante carregado, e com várias feridas abertas"
463,Alguém me devolva as poucas forças que esse ano me tirou?
464,"O inferno é real, sinto ele todos os dias dentro de mim."
465,"Minha exaustão interna é tão grande, que não preciso fazer esforço físico para me sentir cansado."
466,"Ultimamente, viver nunca foi tão desgastante como é agora."
467,"Eu sou um atestado de orbito, esperando o tempo ter tempo pra assinar."
468,"Ato de coragem é continuar vivendo, quando sua maior vontade é de acabar com sua vida."
469,Como me livrar dessa vontade de só ficar deitado esperando o tempo passar?
470,"Coisas pequenas me magoam, coisas pequenas me destroem."
471,"Este ano acabou comigo em todos os sentidos. Fisicamente, emocionalmente e psicologicamente."
472,Ao longo da minha vida carregarei traumas que nem mesmo o tempo será capaz de me fazer supera-los.
473,Sofro por coisas que crio na minha própria mente
474,"Mais um ano se passou, nada mudou, só piorou, acabado eu estou."
475,Deus sabe que eu tentei.
476,"Deus sabe que eu vivi, Deus que eu amei, Deus sabe que eu morri."
477,"Eu não queria muito, só precisava que você ficasse..."
478,Não te tornes aquilo que te feriu.
479,"Dias piores ""verão"""
480,"Não é fácil assim. Para voltar para ele tem que ter forças, e forças é tudo que eu não tenho..."
481,A pior coisa que fiz foi ter me afastado de Deus.
482,Ainda estou com essa sensação
483,Espero que um dia toda essa dor seja útil.
484,"A ansiedade e paranoia tiram a minha paz, estou quase surtando."
485,"Ei moça, não precisa seguir padrões. Dane-se o que a sociedade acha de bonito, tenha orgulho de ser da forma que és."
486,"A depressão, ansiedade e paranoia me destruindo desde que me entendo por gente."
487,É horrível pressentir que algo ruim irá acontecer
488,Estou com uma péssima sensação
489,"2016 já deu, não aguento mais"
490,Todo dia é um péssimo dia para ser eu.
491,"Quem nasceu para ser minha companhia: a desinstabilidade emocional, solidão, neuroses, e paranoias."
492,"Com meu humor bipolar, minhas crises e neuroses consegui afastar todo mundo de mim."
493,As lágrimas tentam cair mas minha fonte de choro secou.
494,Me vi tão derrotado e magoado ao ponto de não conseguir chorar mais.
495,Eu consigo estragar tudo sem medir esforços.
496,"Todos os planos e sonhos que construí para este ano foram arruinados e destruídos, na minha frente."
497,Parece que o universo está me testando para ver até onde eu aguento.
498,O que tem de tão errado comigo que ninguém consegue permanecer na minha vida?
499,Queria saber o porquê das pessoas me trocarem e me abandonarem tão rápido.
500,Vocês também se sentem 100% substituíveis? Porque eu sim.
501,Dormir é a melhor fuga temporária dos problemas
502,Eu não tenho mais forças para prosseguir. Rastejo pela vida pedindo ajuda e uma trégua.
503,Este ano minhas crises existenciais ficaram mais frequentes.
504,"A dor na garganta é intensa, engolir o choro nunca foi tão difícil."
505,Meu coração já não suporta mais ser despedaçado novamente.
506,Tudo aqui é involuntário. Desde acordar todos os dias a sorrir de vez em quando.
507,Você foi embora antes mesmo de me dizer adeus.
508,"É cansativo sentir tudo isso, todos os dias, mas o que posso fazer a não ser me lamentar?"
509,Todo dia é o pior dia da minha vida.
510,"Me pergunta se estou bem, eu respondo que sim, você acredita e eu vejo que tu não se importava com a resposta."
511,"Minha vida nada mais é do que uma estação trem. Pessoas vem, pessoas vão, mas nenhuma fica."
512,"Levantar da cama, ultimamente, tem sido a coisa mais difícil e involuntário que ando fazendo da vida."
513,"Sinto falta do que eu era a uns anos atrás, alguém que vivia e não apenas existia."
514,"O quão alto você me fará voar, até cortar minhas asas?"
515,"Onde está você agora? além de aqui, dentro de mim."
516,Começa com borboletas no estomago e termina com um vazio no coração.
517,Hoje eu sou o que restou da dor.
518,Eu só sinto vontade de chorar
519,"Esse ano foi para quebrar a cara, aprender na marra, chorar, sofrer, lutar para perder."
520,"É triste ver seres humanos cheios de vida e de sonhos, perderem a vida dessa forma, e não poderem fazer nada para impedir... #ForçaChape"
521,Sou arquiteto da minha própria destruição.
522,Não estou psicologicamente preparado para mais uma segunda feira horrível.
523,"Eu estou tão sozinho nesse mundo, e isso me assusta tanto..."
524,As coisas e pessoas que eu amo tem o costume de me destruir.
525,"De todos os anos que tive, esse com certeza foi o pior e mais difícil ano da minha vida."
526,Já tive vários amigos vários.
527,"O pior é que a vida conhece meus pontos fracos, e foi neles que ela investiu para me destruir aos poucos."
528,"Minha vida é artificial, demonstro ser o que não sou para não ser julgado, e isso me destrói."
529,A quem eu quero enganar? Sei que não poderei levar isso a diante
530,"Ao me sentar no chão, pude perceber, que o solo estava menos frio que meu coração."
531,"Pode ser a mesma dor, mas sempre afetará de forma distinta cada um. Cabe a nós respeitarmos."
532,"Nunca julgues dores que nunca sentistes, por favor."
533,"Não é certamente vontade de ingerir álcool, só quero esquecer dos meus problemas por um instante, e rir deles junto com eles."
534,"Coisas boas são tão várias, temporárias, efêmeras."
535,"Pois quando não estás aqui, sinto falta de mim mesmo."
536,"Pois quando não estás aqui, não sinto que estou vivendo o meu sonho. #UnidosPeloNovembroAzulSdv"
537,"Ei garçom, por favor, me dê um gole de vida."
538,"E meu olhar fundo e decaído, grita por si, que não estou bem há muito tempo."
539,"Eu pude ver, o sol desaparecer, do meu rosto, dos meus olhos, da minha vida."
540,"Amor é quando você tem todos os motivos para odiar a pessoa, mas continua a amando, mesmo sem motivos para isso."
541,É difícil esquecer daquilo que já te fez feliz um dia.
542,"Sofrer por amor é tão contraditório, o amor deveria apenas fazer bem."
543,"Ta frio lá fora, nevando aqui dentro, dentro de mim."
544,A vontade de partir daqui já atingiu patamares altíssimos.
545,"O sorriso se fechou, o coração esfriou, o olhar se decaiu e as borboletas do estômago morreram."
546,Projeto suicídio 2017
547,Incrível como tudo pode piorar a cada dia
548,Eu já estou cansado de ouvir que uma hora tudo isso irá passar...
549,"Sabe quando você perde o gosto pela vida? Nada te faz sorrir, ou sentir aquelas borboletas no estômago, você se encontra totalmente morto."
550,É de se indignar a maneira de como ficamos tristes no meio de tanta razão pra sermos felizes.
551,"Quero meus anos bons de volta, meu sorriso, meus sonhos, minha vida."
552,E como se livrar dessa mania de ficar insistindo em algo que não dará em nada?
553,"Te oprimem por causa da sua aparência, orientação sexual, modo de pensar, gostos pessoais, e tudo que você faz ou deixa de fazer."
554,"#OMundoPrecisaDe pessoas que sorri, que abraça, que ame e ajude o próximo"
555,"#OMundoPrecisaDe pessoas que desconstruam todo e qualquer tipo de preconceito, intolerância e pensamentos machistas."
556,"#OMundoPrecisaDe pessoas que não julguem, não excluem, não oprimam, não diminuem. O mundo precisa de amor."
557,Há tantos sorrisos chorando por aí
558,"Porque não são todos que estão bem, não é todo mundo que achou algum motivo pra viver, nem todo mundo é feliz..."
559,Você não conhece as dores do outro. Seja gentil.
560,Os primeiros 12 meses do ano são sempre os piores.
561,Eu sei lá o que eu quero
562,"Aqui não falta sentimentos, sinto por mim e ti, sinto por nós dois."
563,Cansei de sentir saudade de gente que nem lembra da minha existência
564,"Depressão não diagnosticada, silenciosa e destrutiva."
565,Dói muito mais em mim não ter a quem amar.
566,"Então diga que o tempo fecha todas as feridas, e que pra nós existe uma saída, que nem por um segundo me esqueceu."
567,Eu só queria ter paz e alguém pra ir a guerra me ajudar a lutar.
568,"Tentativa de suicídio fracassado, uma oportunidade pra vida ou uma chance de morrer um pouco mais?"
569,As lágrimas vieram... se eu piscar não pararei de chorar.
570,Problemas pequenos também fazem grandes estragos
571,"Meus problemas são pequenos perto de outros, mas já são o suficiente para me destruir."
572,"Me acorde por dentro, e me salve desse nada que me tornei."
573,"Eu tentei, eu juro que eu tentei. Mas ser forte é meu fraco."
574,Minha vida é como um castelo de areia construído na beira do mar. A maré desaba e continuo construindo mesmo assim.
575,Adoro o jeito como finges se importar comigo.
576,"O que adianta ter ficado com um monte de gente na minha vida inteira, se NINGUÉM foi capaz de permanecer na minha vida por muito tempo?"
577,Senhoras e senhores hoje eu estou no chão.
578,"A depressão me pegou, Tentei me matar, Não consegui."
579,"E ela mal piscava, pois sabia que se fizesse isso as lágrimas cairiam sem parar..."
580,Olhe nos meus olhos. Consegues enxergar? O rio de lágrimas querendo sair?
581,Estamos vivendo ou apenas existindo?
582,É triste você chegar ao ponto de só querer morrer logo.
583,As pessoas estão cada vez querendo viver menos
584,É triste ver jovens tão cheios de vida querendo morrer.
585,"Cuide bem de um suicida. Se tentou se matar uma vez, com certeza tentará novamente."
586,"Se decepções ensinam, cansei de aprender."
587,Sim :c
588,Eu carrego dentro de mim um vazio que não pode ser preenchido.
589,"Tentei me matar, e não consegui."
590,Eu nunca estive tão destruído em toda a minha vida
591,E essa tentativa entra no meu caderno de fracassos.
592,A pior parte do suicídio é quando ele falha.
593,páginas ou twitters como o meu que querem crescer ou ajudar os outros a crescerem entrem em contato cmg
594,"A vida não é uma escolha, mas viver ela é."
595,"É que é difícil todos os dias levantar da cama a força, sorrir a força e viver a força."
596,É uma merda deixar alguém te ver por dentro.
597,Há pessoas enterradas mais vivas do que eu.
598,"E quantas vezes você disse ""eu tô bem” quase chorando?"
599,"Pra que me perguntas se estou bem, se pouco lhe importa a minha resposta?"
600,"Me perdi dentro do meu próprio mundo, procurando uma luz no meio do escuro."
601,Se sentir triste e vazio é um estilo de vida.
602,Não existe vida quando a gente está triste e só.
603,Não diga que você entende uma dor que nunca sentiu.
604,"Eu gosto de sentir medo, qualquer sentimento além da dor é bem vindo em mim."
605,Você aprende a constatar que a vida é uma merda quando o seu conceito de felicidade se resume em passar o dia todo dormindo.
606,"Eu estou me sentindo deprimido, desvalorizado, e com muita ressaca, ou como gostamos de dizer em Hollywood, ""perfeitamente bem""."
607,"Eu nunca fiz questão de existir, não queria incomodar."
608,"Eu sei que alguns tem problemas maiores do que os meus, mas eu não faço competição, sofro e reclamo sem esperar ser o vencedor por isso."
609,"Quem me dera, ao menos uma vez, ser amado pelo o que tenho por dentro, pois o que tenho por fora e só um conjunto de poeira."
610,Como perco o hábito de pensar e fantasiar uma vida contigo todos os dias?
611,Tenho um problema horrível chamado: Dificuldade de desapegar de qualquer tipo de pessoa importante pra mim.
612,"Intensifico todo tipo de sentimento que sinto, se sinto, sinto muito, ou não sinto nada."
613,Eu ainda estou aprendendo a viver sem você.
614,Algumas pessoas morrem aos 20 e só são enterradas com 80 anos
615,É normal olhar para si mesmo e nunca gostar do que se vê?
616,"Aí a pessoa sai da sua vida, e deixa um vão enorme."
617,"Amadurecemos com os danos, não com os anos."
618,"É como se eu ficasse aqui nesse cantinho, vendo o mundo girar em um erro abusivo."
619,Eu machuco a mim mesmo todo dia
621,"You make me sad, you make me cry"
622,Ouça o que o silêncio diz
623,Somos prisioneiros das nossas próprias paranóias
624,Eu sempre desisto. Desisto de levantar antes mesmo de cair.
625,"Só enquanto eu respirar, vou me lembrar de você"
626,"Eu falo que estou bem, e ainda tem gente que acredita..."
627,"A resposta de como eu estou está aí, meu silêncio falou por si."
628,"Me perguntaram o que eu estava sentindo, de repente meus olhos viraram uma enxurrada, mas de minha boca não saiu uma só palavra."
629,"Falo que estou bem, para me poupar de explicações."
630,"Cada ignorada que você me dá, meu coração se parte mais um pouco."
631,"Não sei o que você move em mim. Mas quando você não está aqui, não me sinto vivo."
632,Minhas memórias me torturam a todo tempo.
633,A maneira mais simples de se existir é estando morto.
634,Sua indiferença me afeta em proporções absurdas.
635,"O tempo não cura nada. Ele só te faz perceber que você não tem outra escolha a não ser forte, seguir em frente e aceitar a realidade."
636,"Alguns relacionamentos não dão certo, porque duas pessoas vazias não se preenchem."
637,"Certo dia, pelo menos parece que foi assim, de uma hora para a outra, ele deixou de querer fazer parte de alguma coisa."
638,Quem quiser entrar avise aqui
639,A vida não passa de um teste de sobrevivência.
640,"Olhe no fundo dos meus olhos, e veja meu inferno eterno. Consegues enxergar? Ele se esconde no meu olhar."
641,Seguindo de volta até as 00:40 #SemUnfNaMafiaSdv
642,Seguidores que amam a Lana del Rey de paixão 💙
643,Todo dia é um belo dia para morrer.
644,"O inferno é real, posso vivê-lo e senti-lo aqui, dentro de mim."
645,Cada corte do seu corpo representava todas as vezes que desejou estar morta.
646,até o final da enquete eu vejo se faço ou não 💟
647,O que vocês acham de eu fazer um grupo aqui? Pra compartilhar experiências etc?
648,A solidão é interna. É você se sentir sozinho mesmo rodeado de pessoas.
649,Cada uma sabe a alegria e a decepção que traz no coração.
650,"Depressão não mata, ensina a morrer."
651,Eu desisto das coisas antes mesmo de colocá-las em pratica.
653,"Eu até pensei em voar alto, mas aí lembrei que não tenho asas."
654,"Olhando pro teto esperando o tempo passar, e algo mudar."
655,De olhos fechados eu tento esconder a dor agora.
656,"A solidão, com um tempo, se torna um vicio."
657,Sobre o aborto você é: #PrecisamosFalarSobreAborto
658,"Falta dinheiro, amor e auto estima."
659,"É que eu to cansado. Cansado de levantar e todo dia ser a mesma coisa, cansado dessa rotina exaustiva, cansado de sentir saudade, to cansado"
660,"Ja que eu não te tenho, a tua presença eu invento."
661,"Chorei enquanto tomava banho, na esperança que a água lavasse e levasse toda a dor que eu estava sentindo."
662,Hoje a minha noite ta só as músicas da Lana del Rey.
663,"Procurando um caminho pra seguir, uma direção"
664,"Às vezes me sinto uma bexiga, um corpo totalmente vazio."
665,O problema é esse vazio intenso que insiste em permanecer em mim.
666,"E de novo eu disse pra ela que tava tudo bem, quando na verdade eu queria falar que não ta nada bom, que ta tudo errado."
667,"Mudanças, distâncias, chegadas, partidas, é difícil lidar, mas faz parte da vida."
668,E como sempre limpei o rosto e segui em frente.
669,"Meu estado emocional nem o melhor psicólogo do mundo seria capaz de descrever, diagnosticar."
670,"Vou começar a mentir. Fingir que tudo está suave, sorrir..."
671,Você é o mais próximo do paraíso que eu já alcancei. #GanhandoSdvComMafia
672,"E todo dia é dia de desabar, chorar e se lamentar."
673,"Se as pessoas fossem gentis, demonstrassem amor, e fossem mais fiéis, o mundo estaria com menos corações partidos."
674,Menina se abra... esse sorriso forçado não me engana não.
675,Nasci na época errada. Nas pessoas busco valores que nesses tempos elas não procuram ter mais. E isso me destrói.
676,"Pois quando me falam em saudade, logo você me vem na cabeça."
677,"Às vezes é melhor deixar partir, do que ser partido.  #SabadoDetremuraSdv"
678,Os sorrisos mais bonitos estão guardados dentro das pessoas mais tristes.
679,"I feel everything, and i dont feel anything anymore."
680,"Gostaram do meu novo avatar? Norman Bates. Me enviem capas legais que posso por no twitter por DM, escolherei uma ♥"
681,"Meu estado emocional se iguala a previsão do tempo. Às vezes nublado, ou chuvoso, frentes frias e pancadas. Na expectativa de dias de sol."
682,"Ser invisível, insignificante, e nada atraente para as pessoas dói na alma."
683,"Eu só precisava de alguém do meu lado para dizer que tudo ficará bem, as coisas ficarão bem."
684,"Eu fico parado olhando minha vida se afundar cada vez mais, e não faço nada para impedir."
685,"Minha insegurança, meus medos, minha incapacidade, minha sensibilidade e vontade de partir daqui são consequências de traumas que ja passei."
686,"Há traumas emocionais tão ruins que já levei, que levarei pro resto da minha vida."
687,Há feridas tão intensas em meu coração que mesmo cicatrizadas quando cutucadas doem demais.
688,"Pois metade de mim quer estar morto, e a outra metade já morreu."
689,"Oh menina complicada, de dia tão madura e alegre, de noite tão triste e solitária."
690,seus olhos estão cansados de derramar lágrimas pelos mesmos motivos
691,SEGUINDO TODOS DE VOLTA ♥ #MafiaTurmaDoSdv
692,"Não é à toa que passo a maior parte do tempo me isolando do mundo, querendo ouvir apenas o barulho da minha respiração."
693,Talvez minha vontade não é de se matar literalmente. E sim matar esse vazio horrível que se fixou dentro de mim.
694,Vê que a vida que leva não é a mesma. E essa rotina já não satisfaz.
695,"Passo o maior tempo do dia me imaginando sendo outra pessoa, tendo outra vida."
696,"De longe essa vida que eu levo hoje, era a que eu imaginara que iria ter, há uns 10 anos atrás."
697,Às vezes acho que já senti tudo que deveria sentir. E que não sentirei nada novo. Só versões menores do que já senti.
698,"Pessoal tenta nos derrubar, mas nós já ta no chão."
699,"Não precisa tentar me destruir não, eu já consigo fazer isso sozinho comigo mesmo."
700,O que fazer quando a única coisa viva em você é seu corpo?
